Date,Open,High,Low,Close,Volume
2024-07-26,535.6089083835121,540.4584791109177,534.8285883698936,537.7423095703125,53763800
2024-07-29,539.3029198591126,540.320217524103,536.0434679983305,538.0584106445312,39515800
2024-07-30,539.5399397118119,540.6066704721179,531.8951665456115,535.3323364257812,46853600
2024-07-31,542.2264313187045,546.6908455908385,540.8436902827326,544.033935546875,65663400
2024-08-01,545.7723474991777,548.0440410770948,532.7939799696431,536.3299560546875,76428700
2024-08-02,529.1592759231037,530.3840119652383,522.0972101428371,526.3443603515625,82789100
2024-08-05,505.3459113976493,517.1390300808872,503.9927395713321,511.0152893066406,146267400
2024-08-06,512.8326148471089,523.23310551279,511.49924643144766,515.7266235351562,84826300
2024-08-07,521.9687961184728,525.050469711949,511.6769985959894,512.2794799804688,70698300
2024-08-08,517.4649338517983,524.7541513400422,515.4204516421592,524.1220703125,63276600
2024-08-09,523.2923546548908,527.9345480186581,522.057731966884,526.4332275390625,45619600
2024-08-12,527.638216444631,529.1394765426488,524.418311037438,526.7097778320312,42542100
2024-08-13,529.9296605871888,535.608924341297,529.6827360761406,535.371826171875,52333100
2024-08-14,536.1718386960852,538.2559273057971,533.475442429411,537.060791015625,42446900
2024-08-15,542.7401456425697,546.5526461191579,542.1277775985296,546.2662353515625,60846800
2024-08-16,544.6365046350899,548.1922541955665,544.4784994539698,547.490966796875,44430700
2024-08-19,547.9057365553024,552.7257080078125,547.04644404856,552.7257080078125,39121800
2024-08-20,552.2713804695546,553.9405925603355,550.4737628114597,551.826904296875,33732300
2024-08-21,552.8838083296043,555.1949882230521,547.9057711111437,553.7233276367188,41514600
2024-08-22,555.6394125324648,556.2517805006497,548.1526444347239,549.3773803710938,56121500
2024-08-23,552.6467308078585,556.162933530549,550.4342364891817,555.2147216796875,50639400
2024-08-26,556.2519097426546,556.9729101956142,552.1727110261023,553.8912963867188,35788600
2024-08-27,552.60719113133,555.1455824402227,551.4516012531584,554.6517333984375,32693900
2024-08-28,554.3060588906137,554.7406484553917,548.2119183574736,551.4318237304688,41066000
2024-08-29,553.4171111191611,556.7456488400046,550.3256112930245,551.481201171875,38715200
2024-08-30,553.8714915129334,557.2592888149386,550.2861425309688,556.7456665039062,62700100
2024-09-03,553.5751944281147,553.9110383492275,542.7500604797434,545.2884521484375,60600100
2024-09-04,543.4315286411534,547.609472482038,542.7006416631017,544.1723022460938,47224900
2024-09-05,544.1130374259648,546.987212459813,540.369622930467,542.8487548828125,44264300
2024-09-06,543.1746889776059,544.8142412787463,532.8038590526223,533.7125244140625,68493800
2024-09-09,537.9497514376588,540.9721049715934,536.0039549877774,539.6880493164062,40445800
